AssemblyAccession	Organism	Submitter	AssemblyStatus	BioSample	BioProject	ReleaseDate	RefSeq_category
GCF_035014345.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014285.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014265.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014225.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014235.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014205.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014185.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014165.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014145.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014125.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014085.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014055.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014045.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014025.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014005.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013985.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013955.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013945.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013925.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013905.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013885.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013865.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013845.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013825.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013805.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCA_035013785.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013765.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013725.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013705.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013145.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013125.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012585.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012565.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012525.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012505.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012485.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012465.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012445.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012425.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012405.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012385.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012365.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012345.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012325.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012305.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012285.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012265.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012245.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012225.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012205.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012185.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012165.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012145.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012085.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012105.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012045.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012065.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012025.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035012005.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011985.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011965.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011945.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011925.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011895.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011485.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011455.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011445.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011425.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035011405.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
